blocks,tokens,heads,block_size,head_dim,run_length,num_runs,trial,memory_layout,traversal,median_ms,gib_per_second,gflops,useful_flops_per_kv_byte,checksum,max_abs_error
512,8192,32,16,128,512,1,0,BHND,BHND,31.22138,8.007333436,4.298904405,0.5,-2.508999498,0
512,8192,32,16,128,512,1,0,HBND,HBND,29.067027,8.600810809,4.617525143,0.5,-2.508999498,0
512,8192,32,16,128,512,1,0,BNHD,BNHD,31.573362,7.918067135,4.250979924,0.5,-2.508999498,0
512,8192,32,16,128,512,1,1,BHND,BHND,30.913224,8.087153899,4.341757689,0.5,-2.508999498,0
512,8192,32,16,128,512,1,1,HBND,HBND,29.051553,8.605391939,4.619984618,0.5,-2.508999498,0
512,8192,32,16,128,512,1,1,BNHD,BNHD,31.318005,7.982628523,4.285641055,0.5,-2.508999498,0
512,8192,32,16,128,512,1,2,BHND,BHND,30.933836,8.081765223,4.338864666,0.5,-2.508999498,0
512,8192,32,16,128,512,1,2,HBND,HBND,29.044132,8.607590683,4.62116506,0.5,-2.508999498,0
512,8192,32,16,128,512,1,2,BNHD,BNHD,31.476906,7.9423308,4.26400638,0.5,-2.508999498,0
512,8192,32,16,128,512,1,3,BHND,BHND,30.996701,8.065374441,4.330064932,0.5,-2.508999498,0
512,8192,32,16,128,512,1,3,HBND,HBND,29.00932,8.617920034,4.626710588,0.5,-2.508999498,0
512,8192,32,16,128,512,1,3,BNHD,BNHD,31.185026,8.016668,4.30391586,0.5,-2.508999498,0
512,8192,32,16,128,512,1,4,BHND,BHND,31.415213,7.957927899,4.272380009,0.5,-2.508999498,0
512,8192,32,16,128,512,1,4,HBND,HBND,28.993086,8.622745437,4.629301207,0.5,-2.508999498,0
512,8192,32,16,128,512,1,4,BNHD,BNHD,31.519381,7.931627845,4.258260275,0.5,-2.508999498,0
512,8192,32,16,128,256,2,0,BHND,BHND,31.058875,8.049229085,4.32139696,0.5,-2.508999498,0
512,8192,32,16,128,256,2,0,HBND,HBND,29.02901,8.612074611,4.623572351,0.5,-2.508999498,0
512,8192,32,16,128,256,2,0,BNHD,BNHD,31.809048,7.859398999,4.219482708,0.5,-2.508999498,0
512,8192,32,16,128,256,2,1,BHND,BHND,30.982319,8.06911839,4.332074949,0.5,-2.508998553,0
512,8192,32,16,128,256,2,1,HBND,HBND,29.013977,8.616536782,4.62596796,0.5,-2.508998553,0
512,8192,32,16,128,256,2,1,BNHD,BNHD,31.141651,8.027833849,4.30991048,0.5,-2.508998553,0
512,8192,32,16,128,256,2,2,BHND,BHND,30.98216,8.0691598,4.332097181,0.5,-2.508998553,0
512,8192,32,16,128,256,2,2,HBND,HBND,29.026486,8.612823474,4.623974394,0.5,-2.508998553,0
512,8192,32,16,128,256,2,2,BNHD,BNHD,31.214701,8.009046763,4.29982424,0.5,-2.508998553,0
512,8192,32,16,128,256,2,3,BHND,BHND,31.027809,8.057288222,4.325723676,0.5,-2.508999498,0
512,8192,32,16,128,256,2,3,HBND,HBND,29.037493,8.609558683,4.622221622,0.5,-2.508999498,0
512,8192,32,16,128,256,2,3,BNHD,BNHD,31.893827,7.838507433,4.208266634,0.5,-2.508999498,0
512,8192,32,16,128,256,2,4,BHND,BHND,30.964092,8.073868273,4.334625023,0.5,-2.508999498,0
512,8192,32,16,128,256,2,4,HBND,HBND,29.020257,8.614672158,4.624966898,0.5,-2.508999498,0
512,8192,32,16,128,256,2,4,BNHD,BNHD,32.025766,7.806214534,4.190929516,0.5,-2.508999498,0
512,8192,32,16,128,128,4,0,BHND,BHND,31.084494,8.042595128,4.317835381,0.5,-2.508999481,0
512,8192,32,16,128,128,4,0,HBND,HBND,29.052005,8.605258054,4.619912739,0.5,-2.508999481,0
512,8192,32,16,128,128,4,0,BNHD,BNHD,31.35955,7.97205317,4.279963456,0.5,-2.508999481,0
512,8192,32,16,128,128,4,1,BHND,BHND,31.778833,7.866871637,4.223494551,0.5,-2.508999514,0
512,8192,32,16,128,128,4,1,HBND,HBND,30.181931,8.283101568,4.446956293,0.5,-2.508999514,0
512,8192,32,16,128,128,4,1,BNHD,BNHD,32.016913,7.808373031,4.19208835,0.5,-2.508999514,0
512,8192,32,16,128,128,4,2,BHND,BHND,31.012145,8.061357897,4.327908566,0.5,-2.508997684,0
512,8192,32,16,128,128,4,2,HBND,HBND,29.072706,8.599130745,4.616623165,0.5,-2.508997684,0
512,8192,32,16,128,128,4,2,BNHD,BNHD,31.144135,8.027193563,4.309566729,0.5,-2.508997684,0
512,8192,32,16,128,128,4,3,BHND,BHND,31.103153,8.037770319,4.315245081,0.5,-2.508999134,0
512,8192,32,16,128,128,4,3,HBND,HBND,29.591891,8.44826037,4.535625249,0.5,-2.508999134,0
512,8192,32,16,128,128,4,3,BNHD,BNHD,31.28687,7.990572403,4.289905893,0.5,-2.508999134,0
512,8192,32,16,128,128,4,4,BHND,BHND,30.850191,8.103677543,4.350628753,0.5,-2.508998061,0
512,8192,32,16,128,128,4,4,HBND,HBND,29.011444,8.617289095,4.626371855,0.5,-2.508998061,0
512,8192,32,16,128,128,4,4,BNHD,BNHD,31.397999,7.962290845,4.274722348,0.5,-2.508998061,0
512,8192,32,16,128,64,8,0,BHND,BHND,30.884193,8.094755787,4.345838922,0.5,-2.508998491,0
512,8192,32,16,128,64,8,0,HBND,HBND,30.067939,8.31450403,4.463815362,0.5,-2.508998491,0
512,8192,32,16,128,64,8,0,BNHD,BNHD,31.451799,7.948670917,4.267410204,0.5,-2.508998491,0
512,8192,32,16,128,64,8,1,BHND,BHND,30.933738,8.081790827,4.338878412,0.5,-2.508999271,0
512,8192,32,16,128,64,8,1,HBND,HBND,29.12144,8.584740315,4.608897362,0.5,-2.508999271,0
512,8192,32,16,128,64,8,1,BNHD,BNHD,31.291878,7.98929358,4.28921933,0.5,-2.508999271,0
512,8192,32,16,128,64,8,2,BHND,BHND,30.910673,8.087821317,4.342116006,0.5,-2.508999682,0
512,8192,32,16,128,64,8,2,HBND,HBND,29.128983,8.582517282,4.60770388,0.5,-2.508999682,0
512,8192,32,16,128,64,8,2,BNHD,BNHD,31.303426,7.986346287,4.287637015,0.5,-2.508999682,0
512,8192,32,16,128,64,8,3,BHND,BHND,30.808378,8.11467582,4.356533408,0.5,-2.508998368,0
512,8192,32,16,128,64,8,3,HBND,HBND,29.113309,8.587137931,4.610184572,0.5,-2.508998368,0
512,8192,32,16,128,64,8,3,BNHD,BNHD,31.301684,7.986790743,4.28787563,0.5,-2.508998368,0
512,8192,32,16,128,64,8,4,BHND,BHND,30.867158,8.099223129,4.348237308,0.5,-2.508999441,0
512,8192,32,16,128,64,8,4,HBND,HBND,29.176805,8.568450178,4.600151662,0.5,-2.508999441,0
512,8192,32,16,128,64,8,4,BNHD,BNHD,31.172799,8.019812401,4.305603998,0.5,-2.508999441,0
512,8192,32,16,128,32,16,0,BHND,BHND,30.741648,8.13229011,4.365990008,0.5,-2.508998804,0
512,8192,32,16,128,32,16,0,HBND,HBND,29.260351,8.543984999,4.587017018,0.5,-2.508998804,0
512,8192,32,16,128,32,16,0,BNHD,BNHD,31.153319,8.024827146,4.308296269,0.5,-2.508998804,0
512,8192,32,16,128,32,16,1,BHND,BHND,30.873577,8.0975392,4.347333255,0.5,-2.508999887,0
512,8192,32,16,128,32,16,1,HBND,HBND,29.168833,8.570791982,4.601408908,0.5,-2.508999887,0
512,8192,32,16,128,32,16,1,BNHD,BNHD,31.310077,7.984649798,4.286726219,0.5,-2.508999887,0
512,8192,32,16,128,32,16,2,BHND,BHND,30.942391,8.079530764,4.33766505,0.5,-2.508998797,0
512,8192,32,16,128,32,16,2,HBND,HBND,29.207952,8.559312888,4.595246117,0.5,-2.508998797,0
512,8192,32,16,128,32,16,2,BNHD,BNHD,31.53743,7.927088542,4.255823255,0.5,-2.508998797,0
512,8192,32,16,128,32,16,3,BHND,BHND,30.929652,8.082858482,4.339451605,0.5,-2.508999105,0
512,8192,32,16,128,32,16,3,HBND,HBND,29.215934,8.556974424,4.593990663,0.5,-2.508999105,0
512,8192,32,16,128,32,16,3,BNHD,BNHD,31.267913,7.995416899,4.292506762,0.5,-2.508999105,0
512,8192,32,16,128,32,16,4,BHND,BHND,30.833768,8.107993807,4.35294603,0.5,-2.508998894,0
512,8192,32,16,128,32,16,4,HBND,HBND,29.160781,8.573158586,4.602679469,0.5,-2.508998894,0
512,8192,32,16,128,32,16,4,BNHD,BNHD,31.374524,7.968248379,4.277920774,0.5,-2.508998894,0
512,8192,32,16,128,16,32,0,BHND,BHND,30.975322,8.070941119,4.333053519,0.5,-2.508998062,0
512,8192,32,16,128,16,32,0,HBND,HBND,29.480944,8.480054099,4.552694378,0.5,-2.508998062,0
