blocks,tokens,heads,block_size,head_dim,run_length,num_runs,trial,memory_layout,traversal,median_ms,gib_per_second,gflops,useful_flops_per_kv_byte,checksum,max_abs_error
128,2048,16,16,64,128,1,0,BHND,BHND,1.159542,13.47514795,7.234414967,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,0,HBND,HBND,1.380625,11.31733816,6.07594966,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,0,BNHD,BNHD,1.418292,11.01677229,5.914584585,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,1,BHND,BHND,1.24375,12.56281407,6.744609447,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,1,HBND,HBND,1.407708,11.09960304,5.959054008,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,1,BNHD,BNHD,1.202167,12.99736226,6.977905732,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,2,BHND,BHND,1.251334,12.48667422,6.703732177,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,2,HBND,HBND,1.260333,12.39751716,6.655866346,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,2,BNHD,BNHD,1.246375,12.53635543,6.730404573,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,3,BHND,BHND,1.250334,12.49666089,6.70909373,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,3,HBND,HBND,1.232542,12.67705279,6.805940893,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,3,BNHD,BNHD,1.217834,12.83015583,6.888137464,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,4,BHND,BHND,1.285625,12.15362178,6.524926009,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,4,HBND,HBND,1.206834,12.9470996,6.950921171,0.5,-0.8040231329,0
128,2048,16,16,64,128,1,4,BNHD,BNHD,1.141291,13.69063631,7.350104399,0.5,-0.8040231329,0
128,2048,16,16,64,64,2,0,BHND,BHND,1.224459,12.7607376,6.850868833,0.5,-0.8040231329,0
128,2048,16,16,64,64,2,0,HBND,HBND,1.158917,13.48241505,7.238316463,0.5,-0.8040231329,0
