blocks,tokens,heads,block_size,head_dim,run_length,block_seed,layout,profile_core,profile_ccx,median_ms,gib_per_second,useful_flops_per_kv_byte,retired_instructions,cycles_not_halted,ipc,l3_access,l3_miss,l3_access_per_thousand_instructions,l3_miss_per_thousand_instructions,l3_miss_percent,l3_miss_latency_ns,l3_local_memory_percent,l3_remote_memory_percent,memory_bandwidth_gb_s,memory_read_bandwidth_gb_s,memory_write_bandwidth_gb_s
512,8192,32,16,128,8,0,BHND,0,0,30.684653,8.147395377,0.5,25689424821.0,23188032864.0,1.1,857047725.0,799376700.0,32.28,30.11,93.27,98.67,99.8,0.07,7.24,7.06,0.19
512,8192,32,16,128,8,0,HBND,0,0,29.897069,8.362023715,0.5,26338166955.0,23272068912.0,1.12,908420598.0,828469158.0,35.11,32.02,91.2,98.47,99.78,0.09,7.79,7.52,0.27
512,8192,32,16,128,8,1,BHND,0,0,30.648797,8.156927008,0.5,25768099911.0,23251533324.0,1.1,856744467.0,799597869.0,32.39,30.23,93.33,98.82,99.81,0.06,7.23,7.05,0.18
512,8192,32,16,128,8,1,HBND,0,0,30.883433,8.094954988,0.5,25968340773.0,23690494278.0,1.08,885121116.0,807409104.0,33.7,30.74,91.22,98.4,99.79,0.08,7.27,7.09,0.18
512,8192,32,16,128,8,2,BHND,0,0,30.853598,8.102782697,0.5,25913645478.0,23500281114.0,1.09,854355528.0,795881766.0,32.32,30.11,93.16,98.92,99.8,0.07,7.19,7.02,0.18
512,8192,32,16,128,8,2,HBND,0,0,31.124218,8.032330322,0.5,26358037767.0,24201710853.0,1.08,900499332.0,819873861.0,34.55,31.45,91.05,98.47,99.8,0.08,7.2,7.03,0.17
512,8192,32,16,128,4,0,BHND,0,0,30.719645,8.138114877,0.5,25716257853.0,23240123229.0,1.09,857299092.0,799773228.0,32.32,30.15,93.29,98.96,99.81,0.07,7.23,7.06,0.18
512,8192,32,16,128,4,0,HBND,0,0,30.88224,8.095267701,0.5,26045069436.0,23747221203.0,1.08,912342150.0,821532954.0,34.8,31.33,90.05,98.11,99.8,0.08,7.36,7.19,0.17
512,8192,32,16,128,4,1,BHND,0,0,30.688287,8.146430591,0.5,25668940959.0,23196453168.0,1.1,859011459.0,800185041.0,32.37,30.15,93.15,98.77,99.79,0.08,7.51,7.25,0.26
512,8192,32,16,128,4,1,HBND,0,0,30.883572,8.094918554,0.5,25966940661.0,23673238818.0,1.08,908044752.0,819416028.0,34.51,31.15,90.24,98.12,99.79,0.08,7.38,7.2,0.18
512,8192,32,16,128,4,2,BHND,0,0,30.780616,8.1219947,0.5,25834539831.0,23392348749.0,1.09,856611144.0,799286943.0,32.36,30.19,93.31,99.0,99.78,0.09,7.28,7.09,0.19
512,8192,32,16,128,4,2,HBND,0,0,30.740445,8.13260836,0.5,25641070164.0,23327764587.0,1.09,908725908.0,816999750.0,34.32,30.86,89.91,98.16,99.75,0.11,7.42,7.25,0.18
512,8192,32,16,128,3,0,BHND,0,0,30.698931,8.143606043,0.5,25698802500.0,23227345905.0,1.1,859599480.0,801294738.0,32.38,30.18,93.22,99.01,99.8,0.08,7.26,7.08,0.18
512,8192,32,16,128,3,0,HBND,0,0,31.47087,7.94385411,0.5,26193365511.0,24304861212.0,1.07,947561061.0,847334409.0,36.79,32.9,89.42,98.28,99.76,0.11,7.47,7.3,0.18
512,8192,32,16,128,3,1,BHND,0,0,30.835037,8.107660127,0.5,26660106162.0,24168580260.0,1.09,877354368.0,816761379.0,33.19,30.9,93.09,98.36,99.79,0.14,7.22,7.04,0.18
512,8192,32,16,128,3,1,HBND,0,0,31.461856,7.946130069,0.5,26192062470.0,24391211976.0,1.06,948662760.0,845645073.0,36.77,32.77,89.14,98.24,99.77,0.1,7.78,7.57,0.21
